"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Cote d'Ivoire","CIV","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","161.938009319841","157.973854554663","159.817743427748","158.596127705034","194.879131406531","216.659042440112","215.711004441606","219.258793655906","225.863762053127","222.580062176743","220.758368111823","224.054641108703","227.34365358121","229.626007676662","226.899296898031","227.981387421641","226.305631628618","224.191888123315","229.523459647517","232.690785223512","231.743934403395","235.687908255292","233.921851371519","236.495509442586","233.76444191604","236.409556963973","235.152574562967","231.827265767154","227.293304703072","",
"Cameroon","CMR","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180.890607092592","173.645413616182","168.513562814495","158.43366515186","208.596086208312","221.306529139302","223.441219952218","228.787312379013","232.433572562339","231.71416734986","226.895793634755","230.412227601251","233.243763992717","229.48766615588","224.026147843252","221.037751483535","225.08830818013","220.86181275188","224.049503308676","231.692489389705","230.861225738537","230.37526967504","231.878371447106","233.216452344896","233.7504276821","239.721764112758","238.804669121209","235.32139157002","232.165800296524","",
"Congo, Dem. Rep.","COD","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.31667452222101E-09","7.17344056355948E-08","2.94458372855292E-06","5.96888480090298E-05","0.0138874891708911","0.0867123804531758","0.4990910532263","1.45583721893077","1.85145662479083","6.97357970940405","41.4128308986849","185.237639633948","239.825617457237","264.691927101418","268.087404739211","314.562786450343","344.508069717524","391.71107485364","442.494699014865","456.507646479712","481.030578914397","537.732345862663","578.047997344985","574.307274299625","572.164355468015","575.73941367522","584.97445622448","","","",
"Congo, Rep.","COG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","189.904795974818","179.13138002775","167.022899268343","170.222171259071","236.302458977462","251.50176217874","268.849673654203","","295.391883985737","301.04211563683","288.639989248835","280.863904014594","288.585206855307","280.396528199386","279.720722119244","278.91381263382","287.862479782487","287.308247569173","290.40616403447","304.309568369206","300.571513051438","296.500286164527","305.043135840282","314.563730875964","312.365722536396","321.883057649372","328.014756439042","322.618894840126","","",
"Colombia","COL","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187.313760550328","234.240562397208","288.809585057913","343.483808688386","411.237413392384","483.607018027492","567.547221298969","656.973026777281","767.785666868872","833.042852636644","880.149429524073","924.175931155313","967.533506447268","1013.51800033989","1045.342069621","1062.1119222587","1073.08541119958","1101.17655283044","1134.68139221061","1186.56866607029","1193.93673392166","1196.95463014688","1209.83060505042","1216.42755010239","1231.69655119441","1291.62887232461","1371.38449671091","1400.68441153542","1411.59059002411","",
"Comoros","COM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195.619002182451","200.809619956066","204.658362107165","207.71810162369","211.354998336079","210.579383723159","210.882157286741","214.190357432806","209.779618031631","219.712113835786","223.418758206714","220.572488994617","229.746841119818","216.705137723863","","","","","","",
"Cabo Verde","CPV","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.6636272222614","39.5844578607168","39.6182084443378","40.7098520162969","41.0449565845328","43.2592333374502","44.5336764682395","47.239688257879","48.5616981302878","49.5921662497193","46.7837222838119","47.0220372405213","47.1602077570419","46.6612956525698","44.58535816945","43.302962597839","44.2020001313575","44.8717062339128","46.1401445864998","46.7637077824396","46.9655136460267","47.5651398674211","47.7846572681619","47.8043006029576","46.928863572837","46.9347512589265","45.6974843589515","45.0953615872757","44.5734643337248","",
"Costa Rica","CRI","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2758082855231","59.6101200099546","70.464274717286","75.138542306125","83.1409526249132","99.6227217880685","113.734595361735","125.860414482345","138.386123030166","149.026438339901","159.961465857186","173.075007424234","185.989905854534","199.044208659052","217.727065467538","239.638280024175","258.778540187965","275.144059659069","300.54324790492","325.269976531952","338.143314255823","343.785668391868","351.95695769072","365.021718246323","375.428157888877","377.990492127085","373.215721293127","371.372474968232","370.569976891616","",
"Caribbean small states","CSS","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
